Station,Lat,Long,Town,River,High Level,Color
Cononley,53.918229,-2.006046,Cononley,River Aire,1.064,"rgba(255, 0, 0)"
"Waltham Abbey, Sewardstone Road",51.681471,0.004958,Waltham Abbey,Cobbins Brook,0.8,"rgba(255, 0, 0)"
St Blazey Station Road,50.361418,-4.715659,St Blazey,St Blazey Stream,0.75,"rgba(255, 194, 0)"
Hudds Mill,52.654318,-0.461033,Stamford,Welland (Stamford - Peakirk),0.344,"rgba(0, 204, 0)"
St Ives,52.317315,-0.072946,St Ives,River Great Ouse,0.355,"rgba(0, 204, 0)"
Welsh Bridge,52.709797,-2.75808,Shrewsbury,River Severn,2.7,"rgba(255, 0, 0)"
Shonks Mill Bridge,51.661693,0.209122,Navestock Heath,Roding,1.8,"rgba(255, 0, 0)"
Threlkeld,54.613784,-3.050496,Threlkeld,Glendermackin,2,"rgba(255, 0, 0)"
Colney Street,51.704664,-0.336052,Colney Street,Ver,0.5,"rgba(255, 194, 0)"
Trengune,50.710701,-4.56631,Trengune,River Ottery,1,"rgba(255, 0, 0)"
Chertsey Lock,51.390617,-0.48637,Chertsey,Thames,0.402,"rgba(0, 204, 0)"
Exwick,50.734613,-3.547352,Exeter,River Exe,2.1,"rgba(255, 0, 0)"
Wakefield Henry Street Br,53.681612,-1.517112,Hedon Westlands Drain,Alverthorpe Beck,0.45,"rgba(0, 204, 0)"
Ladock,50.321143,-4.961751,Ladock,Tresillian River,0.85,"rgba(255, 0, 0)"
Partney,53.187011,0.096794,Partney,Lymn & Steeping,0.74,"rgba(255, 194, 0)"
Levisham Mill,54.299848,-0.717923,Levisham,Levisham Beck,0.27,"rgba(0, 204, 0)"
Maunby,54.270085,-1.467898,Maunby,River Swale,2.134,"rgba(255, 0, 0)"
Tixover,52.587333,-0.568186,Tixover,Welland (Rockingham - Stamford),2.345,"rgba(255, 0, 0)"
Reading,51.461325,-0.967884,Reading,Thames,7,"rgba(255, 0, 0)"
Croft,54.483499,-1.553528,Croft-on-Tees,River Tees,3.5,"rgba(255, 0, 0)"
Knighton Main,51.437409,-1.576981,Whittonditch,Kennet,0.504,"rgba(255, 194, 0)"
Gloucester (Severn),51.864982,-2.252201,Gloucester,River Severn,3.2,"rgba(255, 0, 0)"
Westmill,52.085266,0.665897,Pentlow,River Stour,1.6,"rgba(255, 0, 0)"
Lomeshaye,53.836305,-2.232297,Nelson,River Calder,2.385,"rgba(255, 0, 0)"
Whittington,53.266027,-1.410737,Old Whittington,River Rother,1.5,"rgba(255, 0, 0)"
Witcombe,51.840037,-2.142115,Gloucester,Horsbere Brook,0.356,"rgba(0, 204, 0)"
Gatwick Link,51.160212,-0.163604,Horley,Gatwick Stream,1.2,"rgba(255, 0, 0)"
Gargrave,53.982002,-2.097548,Gargrave,River Aire,0.6,"rgba(255, 194, 0)"
Pioneer Mills,53.561524,-2.316991,Radcliffe,Irwell,2.7,"rgba(255, 0, 0)"
Iffley Lock,51.72955,-1.239792,Kennington,Thames,0.222,"rgba(0, 204, 0)"
Bredon,52.03494,-2.116566,Bredon,River Avon,2,"rgba(255, 0, 0)"
Darlaston,52.916247,-2.171867,Meaford,River Trent,1.486,"rgba(255, 0, 0)"
Diss,52.371419,1.099743,Diss,River Waveney,0.95,"rgba(255, 0, 0)"
East Bridge Bridport,50.731934,-2.752192,Bridport,River Asker,0.324,"rgba(0, 204, 0)"
Woolsington,55.023247,-1.698085,Woolsington,Ouse Burn,1.3,"rgba(255, 0, 0)"
Chertsey Bourne,51.402823,-0.539779,Thorpe,Chertsey Bourne,1.06,"rgba(255, 0, 0)"
Izaak Walton,53.055864,-1.782274,Ilam,River Dove,0.59,"rgba(255, 194, 0)"
"Botcherby Bridge, Carlisle",54.89341,-2.910796,"Botcherby, Carlisle",River Petteril,0.933,"rgba(255, 0, 0)"
Stainfield Beck,53.250167,-0.313829,Kingthorpe,Stainfield Beck,0.69,"rgba(255, 194, 0)"
Horncastle Banks Road,53.208433,-0.108817,Horncastle,Waring,0.68,"rgba(255, 194, 0)"
Colwick,52.952707,-1.07772,Holme Pierrepont,River Trent,3.6,"rgba(255, 0, 0)"
Edenbridge,51.194078,0.065165,Edenbridge,Eden Tributary  Medway,2.75,"rgba(255, 0, 0)"
Castle Howe,54.666243,-3.236916,Castle Howe,Lake Bassenthwaite,2.072,"rgba(255, 0, 0)"
Frampton Cotterell,51.537816,-2.481077,Frampton Cotterell,Bristol Frome,0.346,"rgba(0, 204, 0)"
Ewen,51.674733,-1.9904,Ewen,Thames,0.99,"rgba(255, 0, 0)"
