Station,Lat,Long,Town,River,High Level,Color
Cherry Farm,54.303695,-1.000302,Fadmoor,Hodge Beck,0.453,"rgba(0, 204, 0)"
Kirkby,53.47815,-2.918171,Aintree,Alt,0.59,"rgba(255, 194, 0)"
Bedford,52.133733,-0.460042,Bedford,River Great Ouse,0.524,"rgba(255, 194, 0)"
Willen,52.058687,-0.714748,Willen,River Ouzel,0.719,"rgba(255, 194, 0)"
Free Prae Road,51.386331,-0.501357,Chertsey,Chertsey Bourne,1.6,"rgba(255, 0, 0)"
Uppermill,53.542889,-2.009008,Greenfield,Tame,0.256,"rgba(0, 204, 0)"
Wycombe Hugh,51.635574,-0.753691,High Wycombe,Hughenden Stream,0.255,"rgba(0, 204, 0)"
Ludlow Corve,52.381603,-2.724237,Ludlow,River Corve,2.4,"rgba(255, 0, 0)"
Ashleworth,51.922936,-2.265002,Ashleworth,River Severn,3.576,"rgba(255, 0, 0)"
Stowmarket,52.181244,1.008338,Combs Ford,River Gipping,0.97,"rgba(255, 0, 0)"
Smarden,51.148275,0.682267,Smarden,Beult,1.548,"rgba(255, 0, 0)"
Perry Park,52.524933,-1.911514,Perry Barr,River Tame,0.868,"rgba(255, 0, 0)"
Bourton Windrush,51.886693,-1.767911,Bourton-On-The-Water,Windrush,0.24,"rgba(0, 204, 0)"
Oak Cottage,52.385318,-2.337878,Wyre Forest,Dowles Brook,1,"rgba(255, 0, 0)"
Low Nibthwaite,54.284617,-3.085173,Blawith,Crake,0.95,"rgba(255, 0, 0)"
Blackstones Farm,53.971111,-1.38968,Little Ribston,River Crimple,0.472,"rgba(0, 204, 0)"
Eastgate,54.746819,-2.074526,Eastgate,Rookhope Burn,0.82,"rgba(255, 0, 0)"
Hellingly,50.888318,0.244134,Hellingly,Bull,1.349,"rgba(255, 0, 0)"
Bolingey Cocks Bridge,50.333417,-5.144361,Bolingey,Bolingey Stream,1.09,"rgba(255, 0, 0)"
Litte Bowden Flood Storage Reservoir,52.470494,-0.909111,Little Bowden,Jordan,1.39,"rgba(255, 0, 0)"
Bruton Surgery,51.112337,-2.451073,Bruton,River Brue,0.673,"rgba(255, 194, 0)"
London Road,53.474178,-2.228957,Manchester,Medlock,1,"rgba(255, 0, 0)"
Hythe End,51.440219,-0.535292,Hythe End,Colne Brook,2.14,"rgba(255, 0, 0)"
Vexour Bridge,51.189651,0.160853,Chiddingstone Causeway,Eden Tributary  Medway,2.5,"rgba(255, 0, 0)"
Snaith Ings,53.697129,-0.989661,"Hull High Flaggs, Lincoln Street",Snaith Ings,3.1,"rgba(255, 0, 0)"
Bishops Frome,52.137017,-2.488532,Bishops Frome,Frome,0.9,"rgba(255, 0, 0)"
Hagnaby Beck,53.106632,0.0137,Stickford,Hagnaby Beck,2.25,"rgba(255, 0, 0)"
Clifton Lock,51.648617,-1.210808,Long Wittenham,Thames,0.849,"rgba(255, 0, 0)"
Buttercrambe,54.019124,-0.885796,Buttercrambe,River Derwent,1.3,"rgba(255, 0, 0)"
Debenham,52.232016,1.183613,Debenham,River Deben,1.46,"rgba(255, 0, 0)"
Bucknall,53.017569,-2.162134,Bucknall,River Trent,0.388,"rgba(0, 204, 0)"
Manaccan,50.081307,-5.125068,Manaccan,Manacan River,1,"rgba(255, 0, 0)"
Harrison Street,53.744388,-2.490462,Blackburn,Blakewater,2.565,"rgba(255, 0, 0)"
Barnard Castle,54.544622,-1.928854,Barnard Castle,River Tees,1.7,"rgba(255, 0, 0)"
Catterick Garrison,54.373262,-1.705009,Catterick Garrison,Sour Beck,0.5,"rgba(255, 194, 0)"
Trebrownbridge,50.410447,-4.394551,Seaton,River Seaton,0.7,"rgba(255, 194, 0)"
Hug Bridge,53.169457,-2.104665,Rushton Spencer,Dane,0.476,"rgba(0, 204, 0)"
Cleckheaton Hightown Road,53.721955,-1.715052,Cleckheaton,Blacup Beck,0.54,"rgba(255, 194, 0)"
Halfway Bridge,50.992202,-0.674476,Lodsworth,Lod,1.5,"rgba(255, 0, 0)"
Water Orton,52.52039,-1.751178,Water Orton,River Tame,1.436,"rgba(255, 0, 0)"
New Botley,51.752648,-1.281126,Botley,Bulstake Stream,2.01,"rgba(255, 0, 0)"
Cold Harbour,51.730973,-1.251352,South Hinksey,Hinksey Stream,2.3,"rgba(255, 0, 0)"
Burrow Beck,54.039446,-2.780563,Lancaster,Burrow Beck,0.75,"rgba(255, 194, 0)"
Cannington,51.149147,-3.061825,Cannington,Cannington Brook,1,"rgba(255, 0, 0)"
Kings College,51.397462,-0.230955,New Malden,Pyl Brook,1.6,"rgba(255, 0, 0)"
Wray,54.105893,-2.605757,Wray,Hindburn,0.792,"rgba(255, 194, 0)"
Boroughbridge,54.09646,-1.394448,Boroughbridge,River Ure,13,"rgba(255, 0, 0)"
Sheeppen Bridge,51.654587,-1.849612,Latton,Ampney Brook,1.45,"rgba(255, 0, 0)"
Ashford Mill,50.964926,-2.912024,Ilton,River Isle,1.3,"rgba(255, 0, 0)"
Borehamwood,51.668568,-0.287687,Green Street,Borehamwood Brook,1.6,"rgba(255, 0, 0)"
Manor Road,51.921925,-2.099682,Cheltenham,Wymans Brook,0.32,"rgba(0, 204, 0)"
Town Lock,51.194615,0.278452,Tonbridge,Medway,2.3,"rgba(255, 0, 0)"
Acton Lane,53.395655,-3.121735,Upton,Arrowe Brook,0.502,"rgba(255, 194, 0)"
Stilebridge,51.202357,0.515045,Linton,Beult,2.6,"rgba(255, 0, 0)"
Redlands Lane,51.237321,-0.859739,Crondall,Hart,1.1,"rgba(255, 0, 0)"
Doveridge,52.902503,-1.834928,Doveridge,River Dove,1.405,"rgba(255, 0, 0)"
Sandhurst (Hatherley Brook),51.887632,-2.251427,Sandhurst,Hatherley Brook,2.79,"rgba(255, 0, 0)"
Enslow Weir A,51.861393,-1.30321,Shipton-On-Cherwell,Cherwell,1.29,"rgba(255, 0, 0)"
Leabridge,50.895273,0.24023,Lealands,Bull,0.438,"rgba(0, 204, 0)"
Gunnislake,50.531278,-4.221847,Gunnislake,River Tamar,3,"rgba(255, 0, 0)"
Lodsbridge,50.983264,-0.669759,Selham,Lod,1.842,"rgba(255, 0, 0)"
Horbury,53.655883,-1.562677,Horbury,River Calder,2.3,"rgba(255, 0, 0)"
Waltham Abbey,51.691132,0.015788,Waltham Abbey,Cobbins Brook,2.2,"rgba(255, 0, 0)"
Carlton Bridge,53.697646,-1.023804,Snaith,River Aire,4.5,"rgba(255, 0, 0)"
Banbury,52.066379,-1.333286,Banbury,Cherwell,1.14,"rgba(255, 0, 0)"
Plaistow Mill,51.118685,-4.048455,Muddiford,Bradiford Water,0.85,"rgba(255, 0, 0)"
Salisbury Harnham Bridge,51.061054,-1.794476,Salisbury,River Avon,0.94,"rgba(255, 0, 0)"
Tongham,51.237339,-0.736289,Ash,River Blackwater,1.9,"rgba(255, 0, 0)"
Stanneylands,53.343712,-2.232417,Styal,Dean,0.506,"rgba(255, 194, 0)"
Brokenborough,51.602656,-2.124925,Brokenborough,Tetbury Avon,0.5,"rgba(255, 194, 0)"
Loughton,51.640481,0.081584,Loughton,Roding,1,"rgba(255, 0, 0)"
Witney,51.789786,-1.484269,Witney,Windrush,1.4,"rgba(255, 0, 0)"
Louds Mill,50.712042,-2.414359,Stinsford,River Frome,0.397,"rgba(0, 204, 0)"
Staines,51.431611,-0.512248,Staines,Thames,4.2,"rgba(255, 0, 0)"
Cheswick Green,52.376154,-1.814434,Cheswick Green,River Blythe,0.545,"rgba(255, 194, 0)"
Reaverhill,55.053183,-2.148665,Barrasford,River North Tyne,3.35,"rgba(255, 0, 0)"
East Mills Flume,50.928396,-1.777288,Fordingbridge,River Avon,1.35,"rgba(255, 0, 0)"
Ilam,53.053456,-1.793028,Ilam,River Manifold,0.524,"rgba(255, 194, 0)"
Barcombe near reservoir,50.915667,0.043425,Barcombe,Ouse [So],1,"rgba(255, 0, 0)"
Maesbrook,52.779686,-3.037866,Maesbrook,Flood Channel,1.26,"rgba(255, 0, 0)"
Roe Bridge,53.862594,-2.790936,Myerscough,Brock,0.927,"rgba(255, 0, 0)"
Sheffield Wincobank,53.423952,-1.416682,Sheffield,Blackburn Brook,0.416,"rgba(0, 204, 0)"
Castle Mill (Bedford),52.145596,-0.405558,Bedford,River Great Ouse,0.264,"rgba(0, 204, 0)"
Wainsford,50.458709,-4.604746,Mount,River Fowey,1.8,"rgba(255, 0, 0)"
Send,51.287835,-0.505999,Burntcommon,East Clandon Stream,2.724,"rgba(255, 0, 0)"
Rushey Lock,51.698716,-1.534037,Carswell Marsh,Thames,0.297,"rgba(0, 204, 0)"
Northenden,53.408784,-2.252674,Northenden,Mersey,1.5,"rgba(255, 0, 0)"
Old Mill Lane,53.251492,-2.120243,Macclesfield,Bollin,0.45,"rgba(0, 204, 0)"
Cropredy Bridge,52.114915,-1.315184,Cropredy,Cherwell,2.192,"rgba(255, 0, 0)"
Leigh Court,51.926224,-2.197575,The Leigh,Leigh Brook,1.3,"rgba(255, 0, 0)"
Rugby,52.38548,-1.26252,Newbold On Avon,River Avon,1.079,"rgba(255, 0, 0)"
Reedyford,53.84567,-2.22323,Barrowford,Pendle Water,2.6,"rgba(255, 0, 0)"
Billingford,52.359187,1.182279,Oakley,River Waveney,0.9,"rgba(255, 0, 0)"
Swanton Morley,52.725484,0.990183,Swanton Morley,River Wensum,0.7,"rgba(255, 194, 0)"
"Pickering, Ings Bridge",54.227169,-0.788071,Pickering,Pickering Beck,0.6,"rgba(255, 194, 0)"
Holgate,53.964636,-1.111032,Holgate,Holgate Beck,1.25,"rgba(255, 0, 0)"
Bentham Bridge,54.113463,-2.510184,High Bentham,Wenning,2.25,"rgba(255, 0, 0)"
Tanbridge,51.061034,-0.335071,Tanbridge,Arun,32.6,"rgba(255, 0, 0)"
Chafford,51.144544,0.168468,Fordcombe,Medway,2.5,"rgba(255, 0, 0)"
Biggleswade,52.085111,-0.267906,Biggleswade,River Ivel,0.476,"rgba(0, 204, 0)"
Tamworth,52.631289,-1.697508,Lady Bridge,River Tame,1.296,"rgba(255, 0, 0)"
Rase at Bishopbridge,53.406624,-0.44906,Bishopbridge,Ancholme,1.59,"rgba(255, 0, 0)"
Croston,53.655882,-2.760429,Croston,Yarrow,1.3,"rgba(255, 0, 0)"
Rodington,52.723597,-2.609812,Rodington,River Roden,1,"rgba(255, 0, 0)"
Lechlade,51.692891,-1.672984,Lechlade On Thames,Leach,0.48,"rgba(0, 204, 0)"
Sea Cut at Scarborough,54.301579,-0.423296,Scalby Mills,River Sea Cut,0.368,"rgba(0, 204, 0)"
Doncaster,53.529564,-1.141573,Bentley,River Don,3.05,"rgba(255, 0, 0)"
Arthington,53.903016,-1.552492,Weeton,River Wharfe,3.3,"rgba(255, 0, 0)"
Horseshoe Bridge,53.113634,-0.600069,Bassingham,Brant,1.99,"rgba(255, 0, 0)"
Greenholme,54.914677,-2.803045,Greenholme,River Irthing,0.861,"rgba(255, 0, 0)"
Williton,51.159618,-3.320133,Williton,Monksilver Stream,0.5,"rgba(255, 194, 0)"
Cundy Cross,53.551557,-1.439985,Cundy Cross,River Dearne,2.2,"rgba(255, 0, 0)"
Broom,52.180399,-1.87505,Broom,River Arrow,0.488,"rgba(0, 204, 0)"
Bath Destructor Bridge,51.38438,-2.37652,Twerton,River Avon,0.806,"rgba(255, 0, 0)"
Mint Bridge,54.343531,-2.733522,Kendal,Mint,1.2,"rgba(255, 0, 0)"
Lindfield Bridge,51.021082,-0.073715,Lindfield,Ouse [So],1.9,"rgba(255, 0, 0)"
Highfield,53.373245,-1.46412,Sheffield,River Sheaf,0.85,"rgba(255, 0, 0)"
Rutherford Bridge,54.50509,-1.948998,Boldron,River Greta,1.5,"rgba(255, 0, 0)"
Ribchester School,53.811176,-2.531031,Ribchester,Ribble,4.41,"rgba(255, 0, 0)"
Adwick le Street White Cross Bridge,53.57617,-1.176242,Adwick le Street,Ea Beck,0.999,"rgba(255, 0, 0)"
Armley,53.801534,-1.574829,Leeds,River Aire,2.12,"rgba(255, 0, 0)"
Upavon East,51.302514,-1.809882,Rushall,River Avon,0.6,"rgba(255, 194, 0)"
North Muskham,53.131855,-0.803653,North Muskham,River Trent,3.3,"rgba(255, 0, 0)"
Kirby Wiske,54.253557,-1.424704,Kirby Wiske,River Wiske,2,"rgba(255, 0, 0)"
Purton Stoke,51.61322,-1.87404,Purton Stoke,Key,1.89,"rgba(255, 0, 0)"
Cottingley Bridge,53.838116,-1.828238,Cottingley,River Aire,1.7,"rgba(255, 0, 0)"
Croxley Green,51.645553,-0.436992,Croxley Green,Gade,1.1,"rgba(255, 0, 0)"
York Wolfe Avenue,53.962611,-1.057605,York,Tang Hall Beck,2.99,"rgba(255, 0, 0)"
Towcester,52.135918,-0.996201,Towcester,River Tove,0.85,"rgba(255, 0, 0)"
Beckenham Park,51.422952,-0.007672,Grove Park,Ravensbourne,1.579,"rgba(255, 0, 0)"
Passfield Mill,51.101202,-0.825956,Standford,Wey,1.358,"rgba(255, 0, 0)"
Chinbrook Park,51.431438,0.027081,Grove Park,Quaggy,0.7,"rgba(255, 194, 0)"
Court Place Farm,50.8568,-3.058949,Yarcombe,River Yarty,0.8,"rgba(255, 0, 0)"
Germansweek,50.726814,-4.203103,Germansweek,Wolf,0.876,"rgba(255, 0, 0)"
Stoodleigh,50.949994,-3.506375,Stoodleigh,River Exe,2.5,"rgba(255, 0, 0)"
Dovecote Hill,54.646651,-1.672987,Bishop Auckland,River Gaunless,2.2,"rgba(255, 0, 0)"
Langham,51.971749,0.940326,Thorington Street,River Stour,1.57,"rgba(255, 0, 0)"
Theale,51.432753,-1.067068,Theale,Kennet,1.05,"rgba(255, 0, 0)"
Viking Recorder,53.958791,-1.085536,York,River Ouse,1.9,"rgba(255, 0, 0)"
North Mymms,51.718066,-0.219123,Water End,Mimmshall Brook,1.5,"rgba(255, 0, 0)"
Pillaton,50.440154,-4.298799,Pillaton,River Lynher,1.5,"rgba(255, 0, 0)"
Jeffy Knotts,54.422024,-2.98839,Jeffy Knotts,River Brathay,1.754,"rgba(255, 0, 0)"
Lodge Farm,51.263973,-0.950093,North Warnborough,Whitewater,0.439,"rgba(0, 204, 0)"
Creeting,52.167176,1.05147,Creeting St Mary,Stonham Watercourse,0.81,"rgba(255, 0, 0)"
Bramham Screens,53.880307,-1.355437,Bramham,Bramham Beck,1,"rgba(255, 0, 0)"
Chipping Sodbury,51.542061,-2.385953,Chipping Sodbury,Bristol Frome,2.1,"rgba(255, 0, 0)"
Wembley,51.562196,-0.27948,Wembley,Wealdstone Brook,1.8,"rgba(255, 0, 0)"
Durham New Elvet Bridge,54.776573,-1.57257,Durham,River Wear,2.63,"rgba(255, 0, 0)"
Keswick Campsite,54.601275,-3.1492,Keswick,River Greta,1.31,"rgba(255, 0, 0)"
Leintwardine,52.359087,-2.876144,Leintwardine,River Teme,1.2,"rgba(255, 0, 0)"
Bradford on Avon,51.34297,-2.266608,Westwood,River Avon,1.4,"rgba(255, 0, 0)"
Swanage Prospect Farm Swan Brook,50.613227,-1.971617,Swanage,Swan Brook,0.65,"rgba(255, 194, 0)"
Fiddlers Ferry,53.374184,-2.653505,Penketh,Mersey,3.705,"rgba(255, 0, 0)"
Hynam Bridge,54.894613,-2.686767,Castle Carrock,Gelt,0.741,"rgba(255, 194, 0)"
Rockhay Bridge,50.843021,-4.122236,Sheepwash,River Torridge,3.2,"rgba(255, 0, 0)"
Ugly Dub,55.181833,-2.45222,Kielder reservoir,River North Tyne,1.3,"rgba(255, 0, 0)"
Lamorbey Park,51.440152,0.113674,Sidcup,Shuttle Tributary  Cray,1,"rgba(255, 0, 0)"
Aylesbury,51.817792,-0.801624,Aylesbury,Bear Brook,2,"rgba(255, 0, 0)"
Huddersfield Longroyd Bridge,53.641316,-1.795095,Huddersfield,Colne,1.23,"rgba(255, 0, 0)"
Blunham,52.144358,-0.316453,Blunham,River Ivel,0.549,"rgba(255, 194, 0)"
Leatherhead,51.294985,-0.336089,Leatherhead,Mole,2.4,"rgba(255, 0, 0)"
Molingey,50.311776,-4.800075,London Apprentice,St Austell River,1.099,"rgba(255, 0, 0)"
Temple,52.326416,0.578416,Icklingham,Lark,0.619,"rgba(255, 194, 0)"
Lower Stratton,51.569689,-1.735909,Stratton St Margaret,Cole,2.815,"rgba(255, 0, 0)"
Bat Bridge,54.145714,-1.36005,Cundall,Cundall Beck,0.256,"rgba(0, 204, 0)"
Hayhurst Bridge,53.258272,-2.51651,Northwich,Weaver,1.34,"rgba(255, 0, 0)"
Whitwell,51.876889,-0.28128,Whitwell,Mimram,0.4,"rgba(0, 204, 0)"
Killington,54.310113,-2.582471,Killington,Lune,2.3,"rgba(255, 0, 0)"
Barton on Humber,53.689056,-0.441274,Barton-Upon-Humber,Barton Haven,1.2,"rgba(255, 0, 0)"
Loudwater,51.609179,-0.699391,Loudwater,Wye,2.1,"rgba(255, 0, 0)"
Grinton Bridge,54.381959,-1.929135,Grinton,River Swale,1.5,"rgba(255, 0, 0)"
Panshanger,51.803418,-0.141267,Tewin,Mimram,0.8,"rgba(255, 0, 0)"
Delph,53.566913,-2.021999,Delph,Tame,0.293,"rgba(0, 204, 0)"
Old Windsor Lock,51.463198,-0.569077,Old Windsor,Thames,0.349,"rgba(0, 204, 0)"
Sakeham Weir,50.957409,-0.265959,Wineham,Adur,1.35,"rgba(255, 0, 0)"
Buntingford,51.946826,-0.016987,Buntingford,Rib,1.6,"rgba(255, 0, 0)"
Culham Lock,51.6506,-1.267131,Culham,Thames,0.298,"rgba(0, 204, 0)"
Haweswater Reservoir,54.534679,-2.769772,Haweswater Reservoir,Haweswater Reservoir,31.312,"rgba(255, 0, 0)"
Little Woolden Hall,53.440813,-2.475817,Glazebrook,Glaze Brook,1.9,"rgba(255, 0, 0)"
Matson Place,51.85211,-2.233328,Gloucester,Sud Brook,0.457,"rgba(0, 204, 0)"
Moreton,51.739256,0.219552,Moreton,Cripsey Brook,1.5,"rgba(255, 0, 0)"
Forest Row,51.095381,0.052195,Forest Row,Medway,1.3,"rgba(255, 0, 0)"
Thrupp,51.840425,-1.30005,Thrupp,Cherwell,2.12,"rgba(255, 0, 0)"
Benson Lock,51.617191,-1.116011,Benson,Thames,0.309,"rgba(0, 204, 0)"
Sidbury,50.717781,-3.219793,Sidbury,River Sid,1,"rgba(255, 0, 0)"
Huntingfield,52.318638,1.425054,Huntingfield,Huntingfield Watercourse,2.7,"rgba(255, 0, 0)"
Keynsham US,51.419019,-2.487954,Keynsham,River Avon,5.863,"rgba(255, 0, 0)"
Wakefield Westgate,53.680366,-1.509072,Wakefield,Ings Beck,1.27,"rgba(255, 0, 0)"
Lydney,51.72971,-2.534804,Lydney,River Lyd,0.7,"rgba(255, 194, 0)"
Henthorn,53.848003,-2.424337,Great Mitton,Ribble,2.5,"rgba(255, 0, 0)"
Cropple Howe,54.36799,-3.339036,Eskdale Green,Esk (Cumbria),1.88,"rgba(255, 0, 0)"
Holt Mill Bridge,53.693137,-2.257828,Waterfoot,Irwell,0.395,"rgba(0, 204, 0)"
Fenny Castle,51.191655,-2.719186,Godney,River Sheppey,0.439,"rgba(0, 204, 0)"
The Causeway,51.824551,-2.297854,Gloucester,Dimore Brook,0.542,"rgba(255, 194, 0)"
Padiham Town Centre,53.800228,-2.314843,Padiham,River Calder,2.565,"rgba(255, 0, 0)"
Langworth,53.275665,-0.402812,Langworth,Barlings Eau,2.41,"rgba(255, 0, 0)"
Maidstone,51.271553,0.518493,Maidstone,Medway,1.25,"rgba(255, 0, 0)"
Chesterfield Park Road Bridge,53.232965,-1.430996,Chesterfield,River Hipper,0.82,"rgba(255, 0, 0)"
Bradworthy,50.90173,-4.392867,Bradworthy,River Waldon,1,"rgba(255, 0, 0)"
Little Walsingham,52.891548,0.874601,Little Walsingham,River Stiffkey,0.53,"rgba(255, 194, 0)"
Kildwick,53.907443,-1.984735,Kildwick,River Aire,1.45,"rgba(255, 0, 0)"
Skibeden Beck,53.960831,-2.011844,Skipton,Haw Beck,1.6,"rgba(255, 0, 0)"
Bamber Bridge,53.724643,-2.670129,Bamber Bridge,Lostock,1.6,"rgba(255, 0, 0)"
Stoke Bottom Farm,51.230768,-2.487678,Nettlebridge,Mells River,0.3,"rgba(0, 204, 0)"
Knettishall,52.390173,0.871573,Knettishall,Little Ouse,0.295,"rgba(0, 204, 0)"
Port Isaac,50.589157,-4.830228,Port Isaac,Coastal Stream,0.435,"rgba(0, 204, 0)"
Cardington,52.126329,-0.429108,Bedford,River Great Ouse,24.083,"rgba(255, 0, 0)"
Waterhouses,53.04899,-1.879122,Waterhouses,River Hamps,0.466,"rgba(0, 204, 0)"
New Bridge,51.022515,-0.477328,Newpound Common,Arun,10,"rgba(255, 0, 0)"
Gwithian,50.229594,-5.388678,Gwithian,Red,1.09,"rgba(255, 0, 0)"
Bovey Parke,50.595603,-3.682853,Bovey Tracey,River Bovey,1.35,"rgba(255, 0, 0)"
Middleton,54.620104,-2.080488,Middleton-In-Teesdale,River Tees,1.8,"rgba(255, 0, 0)"
Brampton Sluice,52.319854,-0.205625,Brampton,River Great Ouse,0.301,"rgba(0, 204, 0)"
Galgate,53.991743,-2.792162,Galgate,Conder,1.7,"rgba(255, 0, 0)"
Sladesbridge,50.509303,-4.80481,Sladesbridge,River Camel,1.5,"rgba(255, 0, 0)"
Frilsham,51.453438,-1.228555,Frilsham,Pang,0.48,"rgba(0, 204, 0)"
Langrick Bridge,53.009861,-0.11602,Hedgehog Bridge,Witham,1.439,"rgba(255, 0, 0)"
Crakehill,54.153752,-1.350739,Cundall,River Swale,3,"rgba(255, 0, 0)"
Wantage,51.588848,-1.431205,Wantage,Letcombe Brook,0.8,"rgba(255, 0, 0)"
Hungerford Dun,51.414788,-1.539372,Hungerford,Dun,0.5,"rgba(255, 194, 0)"
Sedgwick,54.280023,-2.755861,Sedgwick,Kent,2.5,"rgba(255, 0, 0)"
Shaw,51.410964,-1.325174,Donnington,Lambourn,0.36,"rgba(0, 204, 0)"
Huish Episcopi PS,51.031606,-2.799018,Langport,Longload Main Drain,2.057,"rgba(255, 0, 0)"
Walthamstow,51.603395,-0.012274,Walthamstow,Ching Brook,2,"rgba(255, 0, 0)"
"Yeading, Brookside Road",51.518702,-0.391757,Southall,Yeading Brook,2.08,"rgba(255, 0, 0)"
Marsh Farm,51.448604,-0.339937,Twickenham,Crane,0.25,"rgba(0, 204, 0)"
Rawcliffe,53.977937,-1.118128,Rawcliffe,Blue Beck,1.009,"rgba(255, 0, 0)"
"Pilling, Broadfleet",53.932062,-2.905476,Pilling,Broadfleet,2.754,"rgba(255, 0, 0)"
Donyatt,50.921842,-2.940546,Donyatt,River Isle,1.2,"rgba(255, 0, 0)"
Staines Trading Estate,51.437123,-0.512241,Staines,Colne,1.8,"rgba(255, 0, 0)"
Polstead,52.003937,0.890968,Polstead,River Box,0.68,"rgba(255, 194, 0)"
Beckenham,51.406058,-0.024366,Beckenham,The Beck,0.85,"rgba(255, 0, 0)"
Walton,51.3919,-0.421389,Walton-On-Thames,Thames,3.6,"rgba(255, 0, 0)"
Ilkley,53.929346,-1.83091,Ilkley,River Wharfe,2.9,"rgba(255, 0, 0)"
Pyotts Bridge,51.278294,-1.045224,Old Basing,Loddon,1.35,"rgba(255, 0, 0)"
Orton Sluice,52.560077,-0.281816,Peterborough,Nene (Orton - Wash),2.26,"rgba(255, 0, 0)"
Cummersdale,54.865626,-2.944447,Cummersdale,River Caldew,2.2,"rgba(255, 0, 0)"
Carshalton Ponds,51.367034,-0.162812,Carshalton,Wandle,0.425,"rgba(0, 204, 0)"
Blackwater Bridge,51.330889,-0.775604,Blackwater,River Blackwater,2,"rgba(255, 0, 0)"
Portmarsh Lane,51.074943,-4.050919,Barnstaple,Coney Gut,0.311,"rgba(0, 204, 0)"
Hexham Tanners Row In screen,54.973809,-2.105629,Hexham,Cockshaw Burn,0.03,"rgba(0, 204, 0)"
Springfield,51.736622,0.479442,Chelmsford,River Chelmer,0.75,"rgba(255, 194, 0)"
Calgarth (Trout beck Bridge),54.390814,-2.931474,Calgarth (Trout beck Bridge),Trout Beck,0.713,"rgba(255, 194, 0)"
Fairford,51.709394,-1.783971,Fairford,Coln,1.08,"rgba(255, 0, 0)"
Colliters Brook,51.427707,-2.63391,Bishopsworth,Colliters Brook,0.456,"rgba(0, 204, 0)"
Briantspuddle,50.739761,-2.25333,Briantspuddle,River Piddle,0.613,"rgba(255, 194, 0)"
Scrasebridge,51.006255,-0.079888,Lindfield,Ouse [So],1.44,"rgba(255, 0, 0)"
Bull Gill,54.732405,-3.405386,Allerby,River Ellen,1.5,"rgba(255, 0, 0)"
Abingdon,51.684602,-1.282696,Abingdon,Stert,1.8,"rgba(255, 0, 0)"
Haydon Bridge,54.976681,-2.226498,Haydon Bridge,River South Tyne,2.7,"rgba(255, 0, 0)"
Church Warsop,53.206134,-1.165417,Market Warsop,River Meden,0.41,"rgba(0, 204, 0)"
Clifford Bridge,50.695696,-3.739489,Drewsteignton,River Teign,1.8,"rgba(255, 0, 0)"
Knaresborough,54.008443,-1.47066,Knaresborough,River Nidd,1.3,"rgba(255, 0, 0)"
Winchelsea Strand Bridge,50.923434,0.72054,Winchelsea Beach,Brede,2.5,"rgba(255, 0, 0)"
Boscastle New Mills,50.691075,-4.694207,Boscastle,River Valency,1.84,"rgba(255, 0, 0)"
Kingsclere,51.325621,-1.249358,Kingsclere,Kingsclere Brook,0.761,"rgba(255, 194, 0)"
Farnborough,51.29741,-0.739058,Mytchett,River Blackwater,1.6,"rgba(255, 0, 0)"
Mardock,51.814817,0.020302,Wareside,Ash (Hertfordshire),0.57,"rgba(255, 194, 0)"
Throop,50.763832,-1.84203,Throop,River Stour,1.2,"rgba(255, 0, 0)"
South Cerney,51.673897,-1.934146,South Cerney,Churn,1.31,"rgba(255, 0, 0)"
Warwick,52.284932,-1.562658,Warwick,River Avon,1.463,"rgba(255, 0, 0)"
Hall Place,51.445998,0.158543,Coldblow,Cray,0.75,"rgba(255, 194, 0)"
Vauxhall Bridge,51.29566,1.088238,Hales Place,Great Stour,1.2,"rgba(255, 0, 0)"
Heugh Mill,55.038816,-1.859136,Stamfordham,River Pont,0.64,"rgba(255, 194, 0)"
Walsden,53.690792,-2.101414,Walsden,River Calder,0.38,"rgba(0, 204, 0)"
Clyst Honiton,50.733158,-3.437637,Clyst Honiton,River Clyst,1.9,"rgba(255, 0, 0)"
Manchester Racecourse,53.499526,-2.271756,Broughton,Irwell,2.7,"rgba(255, 0, 0)"
Onibury,52.405995,-2.80328,Onibury,River Onny,1.7,"rgba(255, 0, 0)"
Toddington,51.999754,-1.952083,Toddington,River Isbourne,0.53,"rgba(255, 194, 0)"
Clanfield,51.719421,-1.588977,Clanfield,Clanfield Brook,1.025,"rgba(255, 0, 0)"
Wedderburn Bridge,51.909034,-2.32673,Highleadon,River Leadon,2,"rgba(255, 0, 0)"
Sheepbridge,51.381826,-0.966655,Swallowfield,Loddon,0.89,"rgba(255, 0, 0)"
Bonehurst Bridge,51.186743,-0.163694,Horley,Burstow Stream,3.3,"rgba(255, 0, 0)"
Parbold,53.588789,-2.773605,Newburgh,Douglas,2.925,"rgba(255, 0, 0)"
Broadwey,50.653725,-2.473258,Weymouth,River Wey,0.35,"rgba(0, 204, 0)"
Eastington,51.753386,-2.322244,Stroud,Frome (MI),0.857,"rgba(255, 0, 0)"
Langford Village,51.895439,-1.13585,Launton,Langford Brook (Bicester),1.309,"rgba(255, 0, 0)"
Blewbury,51.573061,-1.233747,Blewbury,Mill Brook,0.24,"rgba(0, 204, 0)"
Shepperton Lock,51.382892,-0.458071,Weybridge,Thames,0.281,"rgba(0, 204, 0)"
Stoneham Lane,50.953881,-1.370394,Swaythling,Monks Brook,0.75,"rgba(255, 194, 0)"
