Station,Lat,Long,Town,River,Water Level
Bidford on Avon,52.164097,-1.857348,Bidford on Avon,River Avon,1.417
Godstow Lock,51.776669,-1.298428,Wytham,Thames,0.135
Upwey Culvert,50.665978,-2.480781,Upwey,Wey,0.033
Swallowfield,51.377564,-0.952526,Swallowfield,River Blackwater,0.486
Alston,54.812531,-2.443415,Alston,River South Tyne,0.609
"Cheshunt, Trinity Lane",51.691657,-0.027263,Waltham Cross,Theobalds Brook,0.555
Mytham Bridge,53.335557,-1.683843,Bamford,River Derwent,1.33
Lincoln Monson Street,53.221702,-0.541127,Boultham,Lincoln Drainage Area,0.39
Bickington,50.539272,-3.702255,Bickington,River Lemon,0.433
"Northholt, Yeading East",51.548783,-0.397836,Northolt,Yeading Brook East,0.109
De Lank,50.558795,-4.637796,St Breward,De Lank River,0.258
Newnham Bridge,50.939901,-3.907581,Burrington,River Taw,0.538
Thame Bridge,51.753138,-0.982253,Thame,Thame,1.249
Stanley,51.455821,-2.065573,Tytherton Lucas,River Marden,0.782
Wincanton,51.048996,-2.41251,Wincanton,River Cale,0.142
Fiskerton Sluice,53.226658,-0.368683,Stainfield,Witham,0.226
Helston County Bridge,50.100002,-5.279794,Helston,Cober,0.495
Middleton Bridge,55.151643,-1.917583,Middleton,River Wansbeck,0.401
Wennington,54.125115,-2.589971,Wennington,Wenning,0.577
Sheffield Centenary Works,53.351517,-1.484072,Sheffield,River Sheaf,0.133
"Cheshunt, Windmill Lane",51.703222,-0.022505,Cheshunt,Small River Lee,0.668
Tiverton,50.883029,-3.489856,Tiverton,River Exe,0.901
Batley Carlinghow  (up stream),53.71811,-1.638949,North America,Batley Beck,0.282
Bollington Mill,53.380045,-2.406589,Little Bollington,Bollin,0.534
Northallerton,54.338848,-1.442218,Northallerton,Willow Beck,0.415
Radlett,51.682315,-0.315607,Radlett,Radlett Brook,0.622
Grendon Underwood,51.884491,-1.012852,Grendon Underwood,Ray(Oxon),0.09
Lostock Gralam,53.277575,-2.455855,Higher Wincham,Wincham Brook,1.313
Sowerby Bridge Scar Head Road,53.70594,-1.91329,Sowerby Bridge,Ryburn,0.77
Kestrel Drive,51.563545,-1.722961,Wanborough,Dorcan Brook,0.844
Fosdyke Jetty,53.23087,-0.555797,Lincoln,Fosdyke Canal,1.388
Trowlock Island,51.423993,-0.308538,Trowlock Island,Thames,4.672
Duddon Hall,54.295374,-3.237418,Beckfoot,Duddon,0.501
Aylesford Stream,51.133674,0.880127,Park Farm,Old Mill Stream Tributary  East Stour,0.97
Medbourne,52.537116,-0.824895,Medbourne,Medbourne Brook,0.141
Mytholmroyd,53.73128,-1.983282,Mytholmroyd,River Calder,1.186
Sprouston,55.61121,-2.395446,Sprouston,Tweed,1.72
Bellingham,55.142852,-2.261953,Bellingham,River North Tyne,0.727
Tidworth Manor Bridge,51.242295,-1.662004,North Tidworth,River Bourne,0.103
Tideford,50.413192,-4.331177,Tideford,River Tiddy,0.16
Torksey,53.293511,-0.750996,Torksey,River Trent,4.477
Drove Lane,51.090021,-1.181212,New Alresford,Alre,0.354
Welney Causeway,52.518826,0.252026,Welney Causeway,River Great Ouse,1.747
Pincock Brow,53.655307,-2.676594,Euxton,Yarrow,0.272
Walcot,52.706629,-2.60558,Walcot,River Tern,0.944
Eel House Bridge,54.338025,-2.970931,Satterthwaite,Cunsey Beck,0.911
Armscroft Place,51.863183,-2.221361,Gloucester,Wotton Brook,0.098
Bodicote,52.028582,-1.326852,Bodicote,Sor Brook,0.166
Chipping Ongar,51.709101,0.239586,Chipping Ongar,Cripsey Brook,0.366
Goring Lock,51.523317,-1.141252,Streatley,Thames,0.085
Todmorden Callis Bridge,53.732891,-2.045203,High Green,River Calder,0.274
Smithy Houses,53.019889,-1.425573,Smithy Houses,Bottle Brook,0.6
Northmoor Lock,51.716858,-1.374624,Appleton,Thames,0.046
Sturmer,52.069056,0.474036,Sturmer,Stour Brook,0.153
Little Bytham,52.748345,-0.50217,Little Bytham,West Glen (To Kates Bridge),0.04
Barbrook Bridge,51.213836,-3.841064,Barbrook,West Lyn River,0.293
Silsden,53.923505,-1.933535,Silsden,Silsden Beck,0.131
Stokesley Downstream,54.462673,-1.19921,Stokesley,River Leven,0.841
Semington,51.343988,-2.134327,Semington,Semington Brook,0.449
Kislingbury,52.231962,-0.97793,Kislingbury,Nene,0.163
Todmorden,53.716861,-2.096931,Todmorden,River Calder,0.585
Lodden Bridge,51.034216,-2.265615,Gillingham,River Lodden,0.609
Whitewater Bridge,53.226502,-1.008036,Ollerton,River Maun,0.391
Mythe Bridge,52.00171,-2.163093,The Mythe,River Severn,1.113
Fleet Weir,53.751469,-1.423682,Woodlesford,River Aire,0.609
Croft Monk End Farm,54.484792,-1.567976,Croft-on-Tees,Clow Beck,0.848
Oxford Rd,53.78552,-2.234141,Burnley,River Calder,0.532
Whaddon,52.101809,-0.017376,Whaddon,Whaddon Brook,0.33
Hartford Bridge,55.113789,-1.620587,Hartford Bridge,Blyth,0.384
Reeth,54.387346,-1.936039,Fremington,Arkle Beck,0.515
Beck Bridge,52.332181,0.438278,Isleham,Kennett,0.08
Limekilns,50.682229,-3.470109,Exminster,Exminster Marshes,0.408
Restormel,50.431183,-4.67963,Lostwithiel,River Fowey,0.372
"Hemel Hempstead, Old Fishery Lane",51.744674,-0.49654,Hemel Hempstead,Bulbourne,0.635
Trenear,50.133798,-5.254647,Wendron,River Cober,0.505
Kirby Sigston,54.347769,-1.3567,Kirby Sigston,Cod Beck,0.409
Preston-Le-Skerne,54.60851,-1.549436,Aycliffe Village,River Skerne,0.274
Derwent Water at Lodore,54.562827,-3.138777,Derwent Water at Lodore,Derwentwater,1.942
Ross On Wye,51.915339,-2.587573,Ross On Wye,Wye,1.848
