Station,Lat,Long,Town,River,Water Level
Vallis,51.240687,-2.349087,Great Elm,Mells River,0.345
Clavering,51.965459,0.146003,Clavering,Stort,0.375
Bampton Bridge,50.989182,-3.484134,Bampton,River Batherm,0.302
Milford,52.791503,-2.038506,Milford,River Sow,1.202
Pishiobury Brook,51.795404,0.134177,Harlow,Pishiobury Brook,0.973
Clomoney Way,51.881479,-2.206851,Gloucester,Horsbere Brook,0.442
Boulters Lock,51.532713,-0.699466,Taplow,Thames,0.278
Knowle Green,51.430935,-0.496618,Staines,Ash (Surrey),0.435
Portsmouth Lennox Road,53.732082,-2.153506,Portsmouth,River Calder,0.589
Ensbury,50.768235,-1.876842,Ensbury,River Stour,0.745
River Freshney Grimsby,53.574576,-0.108253,Great Coates,Laceby Beck,0.353
Elvington Sluices,53.917956,-0.929601,Elvington,River Derwent,5.583
Ewood,53.731625,-2.490617,Lower Darwen,Darwen,0.576
West Sedgemoor PS,51.053328,-2.891431,Stathe,River Parrett,6.084
London Colney,51.719476,-0.289861,London Colney,Colne,1.02
Burnbanks,54.536126,-2.762643,Bampton,Haweswater Beck,0.104
"Luton, Stockingstone Road",51.896722,-0.419615,Stopsley,Lee (Upper),0.144
Titley Mill,52.220498,-2.984666,Titley Mill,Arrow,0.695
Eynsham Lock,51.774692,-1.356854,Swinford,Thames,0.167
Dorchester,51.641035,-1.163757,Dorchester,Thame,0.593
Hinton On Green,52.064842,-1.966688,Hinton On The Green,River Isbourne,0.163
Witton Park,54.67286,-1.733251,Witton Park,River Wear,0.758
Myton-On-Swale,54.094667,-1.334108,Myton-On-Swale,River Swale,2.744
Truscott,50.639598,-4.407654,Launceston,River Kensey,0.619
North Drain,51.199702,-2.861707,Burtle,North Drain,1.69
Redbridge,52.492126,0.938899,Shropham,Thet,0.735
Gurney Street,53.481022,-2.212509,Ancouts,Medlock,0.534
Ashton Vale,51.439017,-2.62578,Leigh Woods,River Avon,1.036
Roall Ings,53.721999,-1.149345,Salt end,Roall Dyke,0.393
Wadesmill,51.839044,-0.027533,Wadesmill,Rib,0.252
Parkend,51.764493,-2.556805,Parkend,River Lyd,0.118
Tubbs Bottom,51.543699,-2.464859,Iron Acton,Bristol Frome,0.385
North Fareham weir,50.863667,-1.166426,Wallington,Wallington,0.713
"Malton, A64 Road Bridge",54.146645,-0.759757,Old Malton,River Derwent,1.896
Sydling St Nicholas,50.795256,-2.522871,Sydling St Nicholas,Sydling Water,0.122
Uckfield Mill upstream,50.968752,0.097884,Uckfield,Uck,0.67
St Ives Consols Farm,50.206022,-5.49846,St Ives,River Stennack,0.113
Squires Bridge,53.329892,-0.644055,Thorpe Le Fallows,Till,1.269
Woolstone Mill,50.788684,-4.516349,Titson,River Neet,0.4
Lambourn,51.508084,-1.530219,Lambourn,Lambourn,0.785
"Stock Beck, Jewsons Yard",54.3317,-2.736971,Kendal,Stock Beck,0.353
Lea Bridge,51.567832,-0.051025,Stoke Newington,Lee,5.798
Abridge,51.65178,0.119024,Abridge,Roding,1.309
Midelney,51.008129,-2.832096,Langport,River Isle,0.868
Dowsby Fen,52.849491,-0.275979,Gosberton Clough,South Forty Foot,0.471
Guithavon Valley,51.801923,0.634694,Witham,River Brain,0.271
Ripon Ure Bank,54.143859,-1.515258,Sharow,River Ure,0.57
Wootton Park,52.212737,-0.938853,Rothersthorpe,Wootton Brook,0.191
Willowbank,51.559236,-0.484082,Denham,Colne,0.89
Warkworth,55.348353,-1.608289,Warkworth,River Coquet,0.824
Sheffield Station,53.376972,-1.463457,Sheffield,Porter Brook,0.12
Chiselborough,50.92686,-2.768537,Chiselborough,River Parrett,0.131
Sheffield Blackburn,53.429981,-1.423463,Rotherham,Blackburn Brook,0.066
Simonsbath,51.13829,-3.758506,Simonsbath,River Barle,0.37
Clipstone Brook,51.924207,-0.634231,Leighton Buzzard,Clipstone Brook,0.154
Luxulyan,50.390824,-4.753487,Luxulyan,Par River,0.412
Skinningrove,54.567493,-0.898737,Skinningrove,Kilton Beck,4.319
Ebley Mill,51.740019,-2.24687,Stroud,River Frome,0.371
Addingham,53.939721,-1.862096,Langbar,River Wharfe,0.906
Boxford,52.028438,0.858403,Boxford,River Box,1.219
Long Melford,52.080294,0.724408,Long Melford,Chad Brook,0.345
Newnham Park,50.401002,-4.039339,Plympton,Tory Brook,0.432
Eastville,51.470324,-2.566101,Eastville,Bristol Frome,7.895
Iwood,51.363932,-2.788918,Congresbury,Congresbury Yeo,0.177
Ledgard Bridge,53.671578,-1.697228,Mirfield,River Calder,0.891
"Hemel Hempstead, Two Waters Road",51.741057,-0.47337,Hemel Hempstead,Bulbourne,0.249
Chapel Haddlesey,53.730048,-1.128583,Chapel Haddlesey,River Aire,0.865
Tanfield,54.887182,-1.700147,Tanfield,River Team,0.321
Downton Iron Bridge,50.994106,-1.748006,Downton,River Avon,
"Greenford,Costons Lane",51.527366,-0.344873,Greenford,Brent,0.576
Brislington,51.431118,-2.553489,Brislington,Brislington Brook,0.178
Kilgram,54.269289,-1.708806,Thornton Steward,River Ure,1.113
East Stoke,50.681026,-2.189136,East Stoke,River Frome,1.013
Lower Camden,51.411956,0.051097,Bickley,Kyd Brook,0.946
Low Marishes,54.185605,-0.725015,Low Marishes,River Derwent,2.52
Beal Bridge,53.59901,-2.095119,Newhey,Beal,0.412
East Mills Weir,50.928405,-1.777274,Fordingbridge,River Avon,0.716
Horncastle Victoria Mill,53.210372,-0.117717,Horncastle,Bain,0.296
Catcliffe Drain,53.390594,-1.361999,Rotherham,Catcliffe Drain,25.635
Little Bridge,52.568529,-0.123188,Whittlesey,Nene (Orton - Wash),0.102
Melbourne Park Carlisle,54.889748,-2.913769,Melbourne Park Carlisle,River Petteril,1.069
Stockton,54.562523,-1.309081,Hartburn,River Tees,2.558
North Finchley,51.614894,-0.189437,Totteridge,Dollis Brook,0.468
Cerney Wick,51.665333,-1.891795,Cerney Wick,Churn,0.406
Bromley South,51.400276,0.019377,Bromley,Ravensbourne,0.128
Harrowden,52.334238,-0.683513,Great Harrowden,Ise,0.301
Beal Weir Bridge,53.723209,-1.198257,Beal,River Aire,1.437
Wimborne,50.789681,-1.971312,Oakley,River Stour,0.598
Upper Tean,52.953586,-1.989532,Upper Tean,River Tean,0.469
Shipston,52.062264,-1.622014,Shipston-On-Stour,River Stour (Warks),0.461
Thames Ditton Island,51.393384,-0.331228,Long Ditton,Thames,4.687
Penny Bridge,54.065287,-2.285676,Giggleswick,Ribble,0.752
Brixworth,52.329443,-0.919921,Brixworth,Nene - Brampton Branch,0.184
Lower Nazeing,51.735268,0.019953,Lower Nazeing,Nazeing Brook,1.154
Hartburn,55.177213,-1.871211,Hartburn,River Hartburn,0.181
Milverton,51.035518,-3.265957,Milverton,Hillfarrance Brook,0.194
Bromyard,52.191185,-2.501355,Bromyard,Frome,0.645
Ashclyst,50.776088,-3.403906,Ashclyst,River Clyst,0.203
Adelphi Weir,53.485246,-2.26639,Salford,Irwell,0.824
Ramshaw Mill,54.629699,-1.755963,West Auckland,River Gaunless,0.236
"Pinner, Avenue Road",51.597129,-0.381769,Pinner,Pinn,0.336
Easby,54.470289,-1.098857,Easby,River Leven,0.246
Weston Turville,51.78506,-0.75797,Weston Turville,Wendover Springs,0.317
Days Lock,51.638206,-1.179444,Little Wittenham,Thames,0.113
Irwell Vale,53.677382,-2.317104,Edenfield,Irwell,0.644
Eversley,51.356292,-0.888384,Eversley,River Blackwater,0.745
Hookagate,52.678113,-2.791698,Hookagate,Rea Brook,0.539
Belmont,52.045084,-2.752202,Belmont,Wye,2.49
Bridgnorth,52.534933,-2.415835,Bridgnorth,River Severn,1.854
Cam,51.699985,-2.360238,Cam,River Cam,0.84
Ferrybridge Fishergate,53.71016,-1.264561,Ferrybridge,Wash Dike,0.076
Newbridge Weir A,51.713499,-1.420988,Standlake,Windrush,0.305
Marsh Lock,51.528776,-0.885703,Harpsden,Thames,0.247
Shepshed,52.78322,-1.279553,Shepshed,Black Brook (Soar),0.795
Brede Sluice Gate,50.945909,0.731007,Rye,Brede,1.205
Otley,53.907954,-1.694001,Otley,River Wharfe,0.636
Flash Bridge,51.121978,-0.510356,Alfold Crossways,Cranleigh Waters,2.542
Woolley Bridge,53.461005,-1.9867,Hollingworth,Etherow,0.807
Windsor Park,51.485795,-0.589124,Datchet,Thames,3.379
"Enfield, Ordance Road",51.671889,-0.019618,Sewardstone,Small River Lee,0.265
Steventon,51.621195,-1.323534,Steventon,Ginge Brook,0.641
Brimpton,51.379146,-1.185549,Wasing,Enborne,0.363
Basford Bridge,53.06433,-2.026812,Cheddleton,River Churnet,0.765
Bathford,51.401613,-2.310449,Batheaston,River Avon,1.063
Pulborough Swan Bridge,50.956335,-0.513508,Pulborough,Arun,1.688
Bodmin St Petrocs Well,50.468455,-4.713137,Bodmin,Bodmin Town Leat,0.061
South Emsall,53.599988,-1.294189,South Emsall,Ea Beck,0.22
Brixton Deverill,51.141596,-2.204737,Monkton Deverill,River Wylye,0.232
Syston,52.706226,-1.091508,Cossington,River Wreake,1.649
Ashburton Upper,50.521452,-3.756985,Ashburton,River Ashburn,0.406
Viewly Bridge,54.323263,-1.461847,Warlaby,River Wiske,0.482
Billingborough Ousemere,52.89634,-0.340975,Billingborough,South Forty Foot,0.161
Ripponden,53.666557,-1.948497,Ripponden,River Ryburn,0.413
Marlborough,51.416287,-1.732479,Marlborough,Kennet,0.19
Woking South,51.294424,-0.57291,Mayford,Hoe Stream,0.995
Elland,53.694286,-1.813678,Elland,River Calder,0.775
Stafford Bridge,51.130927,-0.213274,Ifield,Mole,1.254
Broadway Foot,54.287705,-1.141251,Hawnby,River Rye,0.344
Rattlesden,52.192763,0.889367,Rattlesden,Rattlesden River,0.218
Burwash,50.990993,0.390419,Burwash,River Rother,0.504
Gainsborough,53.392687,-0.776833,Gainsborough,River Trent,3.816
Pixton,51.023183,-3.519869,Pixton,River Exe,0.393
ICI Colne,53.662709,-1.748745,Huddersfield,River Colne,0.5
Ponts Vale,50.370495,-4.710608,Tywardreath Highway,Par River,0.285
Allbrook weir,50.987637,-1.34415,Colden Common,Itchen,0.489
Shepherd Road,51.835524,-2.26623,Gloucester,Whaddon Brook,0.058
Heighington Beck,53.212345,-0.44111,Heighington,Heighington Beck,0.088
Tadcaster,53.890881,-1.275696,Tadcaster,River Wharfe,0.818
Adwick,53.512513,-1.282162,Harlington,River Dearne,0.484
"Kingfisher, Cockermouth",54.663532,-3.370199,"Kingfisher, Cockermouth",River Derwent,1.449
Beach's Mill,51.737776,0.446263,Chelmsford,River Can,0.4
Fenny Bridges,50.780011,-3.257213,Fenny Bridges,River Otter,0.284
Buildwas,52.636354,-2.524962,Buildwas,River Severn,2.57
Sprotbrough,53.507062,-1.18877,Sprotbrough,River Don,0.688
Otterburn Mill,55.227922,-2.17683,Otterburn,River Rede,1.104
Great Bridgford,52.839744,-2.174088,Great Bridgeford,River Sow,0.753
Wimpole,52.118971,-0.054461,Wimpole,River Rhee,0.155
Cambridge Jesus Lock,52.212835,0.120872,Cambridge,River Cam,0.73
Staines Moor,51.45237,-0.520468,Hythe End,Wraysbury River,0.094
Ringwood Riverside Terrace,50.843259,-1.793572,Ringwood,Bickerly Mill Stream,0.619
Mattersey,53.397737,-0.964956,Mattersey,River Idle,0.929
Kydbrook Close,51.382923,0.075811,Petts Wood,Kyd Brook,0.512
Dalton,54.183434,-1.354871,Dalton,Cod Beck,2.132
Buscot Lock,51.68119,-1.668729,Buscot,Thames,0.115
Stockbridge,53.876388,-1.891964,Stockbridge,River Aire,0.629
Farmoor,51.757544,-1.366384,Farmoor,Thames,0.947
Bleach Green Weir,54.525555,-3.416967,Ennerdale Bridge,River Ehen,0.679
Abercairn Road,51.416099,-0.143444,Streatham,Graveney,0.941
Westover PS,51.034896,-2.833902,Langport,Huish Level Rhyne,0.587
"Eamont Bridge, Beehive, River Lowther",54.649895,-2.737527,"Eamont Bridge, Beehive, River Lowther",River Lowther,0.742
Dernford,52.134462,0.141784,Great Shelford,River Cam,0.124
Barford Bridge,52.43909,-0.734823,Newton,Ise,0.155
Norham,55.722365,-2.16338,Norham,Tweed,2.887
Rye Meads,51.769207,0.016685,Roydon,Rye Meads Effluent Channel,0.354
Chester-Le-Street,54.854785,-1.560716,Chester-Le-Street,River Wear,0.75
Hail Weston,52.253951,-0.309376,Hail Weston,River Kym,0.284
Kirkstead Bridge,53.143044,-0.241774,Martin Dales,Witham,0.449
Low Houses,54.290034,-2.258043,High Houses,Snaizeholme Beck,0.278
Werrington,50.655106,-4.353424,Werrington Park,River Ottery,0.348
Aylesbury Thame,51.826251,-0.856541,Stone,Thame,0.655
Canonbie (SEPA Site),55.066848,-2.946363,Canonbie,Esk (Border),1.316
Pontefract Wash Dike,53.699599,-1.292918,Pontefract,Wash Dike,0.162
Westy,53.390658,-2.560365,Westy,Mersey,4.231
Chesterfield,53.231179,-1.454659,Walton,River Hipper,0.526
Harwood,54.672926,-2.234106,Langdon Common,Harwood Beck,0.325
Castle Foregate,52.714919,-2.749968,Shrewsbury,Bagley Brook,0.124
Lea Marston,52.541117,-1.695622,Lea Marston,River Tame,0.587
West Kington,51.493159,-2.280981,West Kington,By Brook,0.072
Alma Weir,54.13342,-1.51864,Ripon,River Skell,0.444
Stinsford,50.71564,-2.409207,Stinsford,River Frome,0.331
Henley River,52.29694,-1.777373,Henley-In-Arden,River Alne,0.467
Walkern,51.919973,-0.123165,Walkern,Beane,0.122
Bartley Mill,51.097082,0.330342,Wadhurst,Teise,0.746
Chatsworth,53.211297,-1.610938,Carlton Lees,River Derwent,1.554
Oakworth Mytholmes Lane,53.840383,-1.945702,Oakworth,Worth,0.285
Guildford,51.236036,-0.578011,Guildford,Wey,1.561
Penzance Alverton,50.117377,-5.552432,Penzance,Lariggan River,0.108
Congleton Park,53.166353,-2.209364,Congleton,Dane,0.172
Blakes Lock,51.456172,-0.954614,Reading,Kennet,0.161
Peeks Brook Lane,51.161389,-0.135668,Burstow,Burstow Stream,1.486
Great Haywood,52.805262,-2.011076,Great Haywood,River Trent,1.444
Hereford Bridge,52.051748,-2.720173,Hereford Bridge,Wye,2.458
"Calder Drive, Kendal",54.329748,-2.729924,"Calder Drive, Kendal",Stock Beck,0.374
"Masham, Swinney Beck",54.222378,-1.661545,Masham,Swinney Beck,0.294
Penton Hook,51.414528,-0.499731,Laleham,Thames,0.213
Midelney,51.008129,-2.832096,Langport,West Moor Drain,0.655
Bletchley,51.981248,-0.715727,Water Eaton,River Ouzel,0.388
Kielder Butteryhaugh,55.230707,-2.581702,Butteryhaugh,River North Tyne,0.48
Fordham,52.306909,0.351099,Fordham,Snail,0.262
Willington,52.848235,-1.562071,Willington,River Trent,1.973
Sandford Bridge,51.928793,-2.524006,Sandford Bridge,Rudhall Brook,0.202
Penistone,53.527445,-1.645761,Penistone,River Don,0.56
Hadleigh,52.047653,0.950823,Hadleigh,River Brett,0.425
Eardisland,52.223407,-2.851042,Eardisland,Arrow,0.676
Chart Leacon,51.145063,0.846976,Great Chart,Great Stour,0.335
Pen Mill,50.943504,-2.608654,Yeovil,River Yeo,0.284
Brownshill,52.335738,0.008586,Bluntisham,River Great Ouse,0.304
Waren Mill,55.602485,-1.769011,Warenmill,Waren Burn,0.15
Shifford Lock,51.70718,-1.465193,Shifford,Thames,0.134
Swans Nest,50.681467,-3.470581,Exminster,Exminster Marshes,0.413
Welham Bridge,53.798879,-0.799526,Welhambridge,River Foulness,0.189
Motspur Park,51.393329,-0.241392,New Malden,Beverley Brook,0.933
Staveley,53.26654,-1.337263,Woodthorpe,River Doe Lea,0.659
New Malden,51.410502,-0.247204,New Malden,Beverley Brook,0.876
Bin Brook,52.197227,0.087527,Cambridge,Bin Brook,0.232
Stubbins,53.664894,-2.315043,Stubbins,Irwell,0.443
Sebergham,54.774406,-2.993311,Sebergham,Caldew,0.802
Riverside Park,50.935796,-1.368504,Swaythling,Itchen,1.881
Trumps Green,51.399312,-0.56131,Virginia Water,Chertsey Bourne,0.919
Frome Rodden,51.230803,-2.308252,Frome Rodden,Somerset Frome,0.617
Wookey,51.209432,-2.678492,Wookey,River Axe,0.662
Quidenham,52.450441,0.982414,East Harling,River Whittle,0.187
Heaton Lodge,53.681545,-1.730465,Mirfield,River Calder,0.575
Epney,51.797035,-2.348106,Epney,River Severn,2
Kirkby Stephen,54.482067,-2.351872,Kirkby Stephen,Eden,0.569
Swimbridge,51.053143,-3.969407,Swimbridge,Landkey Brook,0.28
Newport Pagnell,52.089506,-0.721934,Newport Pagnell,River Great Ouse,0.521
Farndon,53.062491,-0.852881,Farndon,River Trent,0.611
Chew Stoke,51.35329,-2.632652,Chew Stoke,Chew Stoke Brook,0.148
Houghton Bridge,50.896759,-0.544372,Houghton,Arun,1.817
Ashton Farm,50.690658,-2.479859,Martinstown Or Winterborne St Martin,Groundwater level,70.278
Arnos Park,51.616543,-0.126609,Southgate,Pymmes Brook,2.643
Perdiswell,52.217941,-2.213213,Worcester,Barbourne Brook,0.422
Jessop Avenue Bridport,50.732383,-2.752341,Bridport,River Asker,0.113
Broughton,52.058452,-0.704763,Broughton,Broughton Brook,0.203
Featherstone,54.943457,-2.513542,Rowfoot,River South Tyne,0.622
Northorpe,53.684963,-1.660794,Ravensthorpe,Spen Beck,0.156
Station Road,53.608903,-2.109832,Milnrow,Beal,0.466
Moyles Court,50.873976,-1.773255,Mockbeggar,Docken's Water,0.255
Dunnabridge,50.551765,-3.916854,Hexworthy,West Dart River,0.722
Pateley Bridge,54.085235,-1.761488,Pateley Bridge,River Nidd,0.477
Harold Park,51.599864,0.249585,Harold Wood,Ingrebourne,1.075
Iver Bridge,51.520714,-0.500885,Iver,Colne Brook,0.034
Rushey Platt,51.553565,-1.803214,Swindon,Ray (Wilts),0.883
Bolton Bridge,53.513589,-1.312304,Bolton Upon Dearne,River Dearne,0.543
Wycombe Wye,51.635466,-0.76901,High Wycombe,Wye,0.135
Egremont,54.482917,-3.52339,Egremont,River Ehen,0.862
Hurn Court,50.771447,-1.822108,Hurn,Moors River,0.449
Stratford,52.191595,-1.70123,Stratford-Upon-Avon,River Avon,0.635
Stamfordham,55.040628,-1.873213,Stamfordham,River Pont,0.774
Low Bentham,54.118746,-2.53947,Low Bentham,Wenning,1.015
Hothfield Upstream,51.157688,0.815185,Hothfield,Great Stour,0.473
Brockenhurst,50.815958,-1.550253,Balmerlawn,Lymington,0.796
Yarkhill,52.081299,-2.563805,Yarkhill,Frome,0.425
Greenham,50.974487,-3.313793,Greenham,River Tone,0.302
Oaksey,51.632205,-2.007169,Oaksey,Swill Brook,0.427
Craze Lowman,50.917501,-3.444578,Chevithorne,River Lowman,0.158
Fenay Bridge,53.636353,-1.726911,Fenay Bridge,Fenay Beck,0.278
Leeds Crown Point,53.794197,-1.535433,Leeds,River Aire,0.967
Whalley Weir,53.81982,-2.413116,Whalley,River Calder,1.177
Minns Estate,51.753242,-1.290099,Botley,Seacourt Stream,1.218
Methley,53.726098,-1.382805,Whitwood,River Calder,1.876
Downham Lane,51.424134,-0.003161,Grove Park,Spring Brk,0.327
Rudheath,53.242164,-2.499533,Davenham,Dane,0.639
Stoke Prior,52.306762,-2.076947,Stoke Prior,River Salwarpe,0.193
Kings Lock,51.789307,-1.306931,Wolvercote,Thames,0.203
Welton,51.290615,-2.483966,Midsomer Norton,Wellow Brook,0.13
Buxton,53.2536,-1.904027,Buxton,River Wye,0.394
Weycroft Bridge,50.795583,-2.98435,Axminster,River Axe,0.684
Saxmundham,52.217851,1.492103,Saxmundham,River Fromus,1.276
Broad Green,52.049066,0.461993,Steeple Bumpstead,Bumpstead Brook,0.116
Copford Hall,51.955175,0.426847,Great Bardfield,River Pant,0.12
Cuddington,51.795602,-0.944321,Cuddington,Thame,1.16
Knighton,52.344778,-3.043943,Knighton,River Teme,0.948
Wissey Sluice,52.55994,0.510116,Stoke Ferry,Wissey,1.836
Cambridge,51.730432,-2.362218,Cambridge,River Cam,0.252
Stadhampton,51.675126,-1.132094,Stadhampton,Thame,0.946
Arborfield Bridge,51.403467,-0.933245,Shinfield,Loddon,0.48
Codford,51.160588,-2.043272,Codford St Mary,Chitterne Brook,0.091
Wath upon Dearne,53.50515,-1.343017,Wath upon Dearne,Brook Dike,0.277
Didworthy,50.441465,-3.852396,Didworthy,River Avon,0.584
Penvose,50.566809,-4.75052,St Kew Highway,River Allen,0.429
Raymill Road,51.528985,-0.716959,Maidenhead,Maidenhead Ditch,0.208
Marple Bridge,53.404904,-2.056058,Compstall,Goyt,0.646
Stockdalewath,54.79619,-2.954259,Stockdalewath,Roe Beck,0.458
Jacobstowe,50.799678,-3.999785,Jacobstowe,River Okement,0.558
Tellisford,51.30679,-2.280873,Tellisford,Somerset Frome,1.28
Garstang,53.896103,-2.779699,Garstang,Wyre,0.5
Ruislip,51.58043,-0.426065,Ruislip,Pinn,0.387
Longbridge Mill,51.3188,-1.019874,Sherfield On Loddon,Loddon,0.274
Earith,52.354128,0.03732,Earith,River Great Ouse,1.81
Stourton,52.461315,-2.207471,Stourton,River Stour,0.487
Appleford Bridge,51.810408,0.674711,Rivenhall End,River Blackwater,0.449
Lydbrook,51.85366,-2.578653,Lydbrook,Wye,2.188
Shilmoor,55.363152,-2.180351,Shillmoor,River Usway Burn,0.167
Hartlake Bridge,51.201686,0.330336,Golden Green,Medway,0.911
Marlow Lock,51.567382,-0.769176,Marlow,Thames,0.085
Kearsley,53.546445,-2.371963,Kearsley,Irwell,1.533
North Witham,52.784469,-0.626388,North Witham,Witham,0.276
Monkton,54.011286,-1.199598,Beningbrough,River Ouse,2.745
Cranleigh,51.142186,-0.480399,Cranleigh,Littlemead Brook,1.474
South Park,54.510602,-1.56287,Stapleton,River Skerne,0.357
Bealsmill,50.570244,-4.318502,Bealsmill,River Inny,0.6
Lealholm,54.458047,-0.824546,Lealholm,River Esk,0.251
Fakenham,52.827359,0.847422,Fakenham,River Wensum,0.542
Okehampton Mill Road,50.738205,-3.999871,Okehampton,East Okement River,0.268
Partington,53.410314,-2.413046,Partington,Sinderland Brk,0.401
Geldharts Mill,52.271031,-0.922807,Kingsthorpe,Nene - Brampton Branch,0.312
Salfords Bridge,51.204792,-0.1677,Salfords,Salfords Stream,1.692
Cleeve Lock,51.529995,-1.135937,Goring,Thames,0.151
Whitford Bridge,50.752859,-3.047245,Whitford,River Axe,0.443
Kings Ripton,52.373829,-0.149082,Kings Ripton,Bury Brook,0.147
Active Way,53.791155,-2.247834,Burnley,River Calder,0.858
West Luccombe,51.201053,-3.578034,West Luccombe,Horner Water,0.156
Swanage King Georges Field St Marys Church,50.609187,-1.962716,Swanage,Swan Brook,0.07
Bredwardine,52.096497,-2.969481,Bredwardine,Wye,2.958
Kingston Hogsmill,51.405736,-0.302166,Kingston Upon Thames,Hogsmill,0.294
St Andrews Bypass,52.248411,-0.907242,Northampton,Nene - Brampton Branch,0.076
Warden Bridge End,54.988608,-2.141972,Hexham,River Tyne,0.917
Grants Bridge,51.344527,-0.604091,Chobham,Addlestone Bourne,0.475
Penkridge,52.727805,-2.117669,Penkridge,River Penk,1.247
Westbourne,50.861097,-0.928616,Westbourne,Ems,0.416
Letcombe Bassett,51.565511,-1.460667,Letcombe Bassett,Letcombe Brook,0.135
Tisbury,51.061485,-2.080366,Tisbury,River Nadder,0.711
Braughing,51.904243,0.020897,Braughing,Quin,0.098
College Road,51.896062,-2.069746,Cheltenham,Chelt,0.208
Broughton Hall,53.957753,-2.073107,Broughton,Broughton Beck,0.504
Pickerings Cut,53.281649,-2.637784,Acton Bridge,Weaver,4.915
Dovers Bridge,53.507328,-2.962574,Sefton,Dovers Brook,0.48
Sturminster Marshall Maggs Bridge,50.797163,-2.083018,Sturminster Marshall,North Winterbourne,-0.041
Trawden Brook,53.852195,-2.140021,Trawden,Trawden Brook,0.205
Missenden,51.677124,-0.650282,Little Missenden,Misbourne,0.132
Churchend,51.884939,0.365166,Churchend,River Chelmer,0.232
Bromley,51.394835,0.016838,Bromley,Ravensbourne,0.134
Blue Bridge,53.744555,-2.6615,Walton-Le-Dale,Darwen,0.653
Currymoor PS,51.054966,-2.936065,Athelney,Currymoor Drain,0.839
Shifnal,52.67455,-2.379329,Shifnal,Wesley Brook,0.237
Cleckheaton Thornton Street,53.720511,-1.705167,Cleckheaton,Spen Beck,0.169
Water Eaton,51.64017,-1.826539,Cricklade,Ray (Wilts),0
Hazelmere Road,51.39528,0.078815,Petts Wood,Kyd Brook,0.65
Shefford,52.040422,-0.335802,Shefford,River Flit,0.284
Charney Bassett,51.64711,-1.451462,Charney Bassett,Ock,0.667
Market Deeping,52.671948,-0.303639,Deeping Gate,Welland Below Peakirk,0.125
Fornham St Martin,52.272126,0.706637,Fornham St Martin,Lark,0.169
"Enfield, Albany Park",51.668821,-0.035081,Enfield Wash,Turkey Brook,0.289
Bury Ground,53.598766,-2.305182,Bury,Irwell,0.632
Llanyblodwel,52.794313,-3.110292,Llanyblodwel,River Tanat,0.863
Wakefield Colinsway,53.678129,-1.504919,Wakefield,Ings Beck,0.416
Wendling Beck,52.681119,0.893649,Podmore,Wendling Beck,0.296
Somerford Keynes,51.650724,-1.973061,Somerford Keynes,Thames,1.077
Hornby,54.109696,-2.63518,Hornby,Wenning,0.527
Sheffield Lady's Bridge,53.385355,-1.462585,Sheffield,River Don,0.667
Gowdall Ings,53.695235,-1.041398,Gowdall,Gowdall Ings,1.723
"Sprint Mill, Kendal",54.358126,-2.748154,Burneside,Sprint,0.417
Hythe Weir,51.441951,-0.535697,Hythe End,Colne Brook,0.73
Thornborough,52.011485,-0.9309,Thornborough,River Great Ouse,0.499
Fornalls Bridge,53.396899,-3.151606,Hoylake,Birket,0.466
Sticklepath,50.737824,-3.917597,Sticklepath,River Taw,0.354
Falstone,55.176863,-2.435206,Falstone,River North Tyne,0.695
Bescot,52.560205,-1.983428,Walsall,River Tame,1.056
Wick,51.453682,-2.430325,Wick,River Boyd,0.229
Sunbury  Lock,51.399708,-0.4156,Sunbury,Thames,0.221
South Church,54.649317,-1.662117,Bishop Auckland,River Gaunless,0.228
Burton Bradstock,50.701633,-2.725949,Burton Bradstock,River Bride,0.306
Abbey Heath,52.425882,0.720787,Abbey Heath,Little Ouse,0.322
Boscastle Anderton Ford,50.690388,-4.632983,Boscastle,River Valency,0.179
Walden Stubbs,53.64031,-1.168065,Walden Stubbs,River Went,0.304
Crag Hall,55.001861,-1.604447,Gosforth,Ouse Burn,0.309
Plympton,50.387125,-4.061716,Plympton,Long Brook,0.229
Poynton,53.341282,-2.127615,Poynton,Poynton Brook,0.251
Penzance Tesco,50.126751,-5.525305,Penzance,Ponsandane Stream,0.28
Watford,51.670654,-0.380235,Watford,Colne,0.212
Mayfield Road,51.306404,-0.772253,Cove,Cove Brook,1.102
Shardlow,52.865431,-1.335368,Shardlow,River Trent,1.39
Colindale,51.591209,-0.244516,Hendon,Silk Stream,0.358
Scalehill Upper Lorton Valley,54.58069,-3.317998,Loweswater,Cocker,1.002
Masham,54.226008,-1.654843,Masham,River Ure,0.832
Currymoor PS,51.054966,-2.936065,Athelney,River Tone,2.888
Irnham,52.833221,-0.460655,Hawthorpe,East Glen (To Kates Bridge),0.122
Heaton Mill,55.674792,-2.160923,Heaton Mill,Till,0.772
Gatwick Airport,51.144764,-0.19953,Charlwood,Mole,-32.767
Kinnersley Manor,51.201071,-0.194473,Sidlow,Mole,2.167
Skew Bridge   Carlisle,54.891143,-2.9382,Skew Bridge   Carlisle,River Caldew,1.038
Dorking,51.238425,-0.311198,Dorking,Mole,0.725
Rotherham Tesco,53.430253,-1.358801,Rotherham,River Don,0.482
City Mill,51.061255,-1.307865,Winchester,Itchen,0.586
Knightsford Bridge,52.198971,-2.389281,Knightwick,River Teme,1.259
